#    L    TT             EE             BB             TE          
   282   0.452721E+04   0.599156E+01   0.231560E-01   0.104319E+03
   283   0.449712E+04   0.613853E+01   0.232900E-01   0.105226E+03
   284   0.446681E+04   0.628731E+01   0.234235E-01   0.106104E+03
   285   0.443629E+04   0.643788E+01   0.235564E-01   0.106952E+03
   286   0.440548E+04   0.659010E+01   0.236888E-01   0.107764E+03
   287   0.437445E+04   0.674398E+01   0.238206E-01   0.108555E+03
   288   0.434327E+04   0.689950E+01   0.239518E-01   0.109309E+03
   289   0.431188E+04   0.705660E+01   0.240824E-01   0.110034E+03
   290   0.428035E+04   0.721513E+01   0.242125E-01   0.110729E+03
   291   0.424867E+04   0.737583E+01   0.243420E-01   0.111381E+03
   292   0.421655E+04   0.753759E+01   0.244708E-01   0.112011E+03
   293   0.418458E+04   0.770003E+01   0.245991E-01   0.112598E+03
   294   0.415233E+04   0.786465E+01   0.247267E-01   0.113163E+03
   295   0.412015E+04   0.802996E+01   0.248537E-01   0.113684E+03
   296   0.408768E+04   0.819744E+01   0.249802E-01   0.114176E+03
   297   0.405514E+04   0.836487E+01   0.251059E-01   0.114639E+03
   298   0.402239E+04   0.853447E+01   0.252311E-01   0.115058E+03
   299   0.398964E+04   0.870551E+01   0.253557E-01   0.115442E+03
   300   0.395674E+04   0.887649E+01   0.254796E-01   0.115788E+03
   301   0.392378E+04   0.904891E+01   0.256028E-01   0.116106E+03
   302   0.389082E+04   0.922202E+01   0.257255E-01   0.116396E+03
   303   0.385779E+04   0.939657E+01   0.258475E-01   0.116641E+03
   304   0.382470E+04   0.957256E+01   0.259688E-01   0.116843E+03
   305   0.379160E+04   0.974850E+01   0.260895E-01   0.117016E+03
   306   0.375844E+04   0.992515E+01   0.262096E-01   0.117152E+03
   307   0.372528E+04   0.101025E+02   0.263290E-01   0.117245E+03
   308   0.369212E+04   0.102820E+02   0.264477E-01   0.117317E+03
   309   0.365904E+04   0.104608E+02   0.265658E-01   0.117337E+03
   310   0.362589E+04   0.106395E+02   0.266833E-01   0.117329E+03
   311   0.359282E+04   0.108204E+02   0.268001E-01   0.117277E+03
   312   0.355982E+04   0.110005E+02   0.269162E-01   0.117196E+03
   313   0.352683E+04   0.111814E+02   0.270317E-01   0.117071E+03
   314   0.349391E+04   0.113629E+02   0.271465E-01   0.116917E+03
   315   0.346107E+04   0.115437E+02   0.272607E-01   0.116720E+03
   316   0.342830E+04   0.117252E+02   0.273742E-01   0.116486E+03
   317   0.339561E+04   0.119060E+02   0.274871E-01   0.116216E+03
   318   0.336300E+04   0.120882E+02   0.275993E-01   0.115910E+03
   319   0.333053E+04   0.122696E+02   0.277109E-01   0.115567E+03
   320   0.329821E+04   0.124511E+02   0.278219E-01   0.115196E+03
   321   0.326597E+04   0.126332E+02   0.279322E-01   0.114780E+03
   322   0.323388E+04   0.128139E+02   0.280418E-01   0.114329E+03
   323   0.320193E+04   0.129945E+02   0.281509E-01   0.113841E+03
   324   0.317013E+04   0.131759E+02   0.282593E-01   0.113309E+03
   325   0.313856E+04   0.133543E+02   0.283672E-01   0.112756E+03
   326   0.310705E+04   0.135342E+02   0.284744E-01   0.112152E+03
   327   0.307577E+04   0.137133E+02   0.285810E-01   0.111519E+03
   328   0.304471E+04   0.138909E+02   0.286870E-01   0.110856E+03
   329   0.301380E+04   0.140686E+02   0.287925E-01   0.110150E+03
   330   0.298310E+04   0.142447E+02   0.288974E-01   0.109408E+03
   331   0.295270E+04   0.144202E+02   0.290017E-01   0.108637E+03
   332   0.292245E+04   0.145956E+02   0.291055E-01   0.107837E+03
   333   0.289241E+04   0.147696E+02   0.292087E-01   0.107000E+03
   334   0.286267E+04   0.149428E+02   0.293114E-01   0.106127E+03
   335   0.283308E+04   0.151138E+02   0.294136E-01   0.105218E+03
   336   0.280378E+04   0.152841E+02   0.295153E-01   0.104279E+03
   337   0.277476E+04   0.154537E+02   0.296165E-01   0.103297E+03
   338   0.274597E+04   0.156211E+02   0.297172E-01   0.102293E+03
   339   0.271755E+04   0.157885E+02   0.298175E-01   0.101253E+03
   340   0.268934E+04   0.159537E+02   0.299173E-01   0.100192E+03
   341   0.266135E+04   0.161167E+02   0.300167E-01   0.990860E+02
   342   0.263372E+04   0.162797E+02   0.301157E-01   0.979514E+02
   343   0.260638E+04   0.164398E+02   0.302143E-01   0.967877E+02
   344   0.257941E+04   0.165984E+02   0.303126E-01   0.955951E+02
   345   0.255266E+04   0.167549E+02   0.304104E-01   0.943734E+02
   346   0.252627E+04   0.169106E+02   0.305080E-01   0.931301E+02
   347   0.250017E+04   0.170635E+02   0.306052E-01   0.918503E+02
   348   0.247443E+04   0.172141E+02   0.307021E-01   0.905414E+02
   349   0.244898E+04   0.173633E+02   0.307987E-01   0.892034E+02
   350   0.242389E+04   0.175096E+02   0.308950E-01   0.878438E+02
   351   0.239932E+04   0.176545E+02   0.309911E-01   0.864551E+02
   352   0.237488E+04   0.177972E+02   0.310870E-01   0.850373E+02
   353   0.235088E+04   0.179370E+02   0.311827E-01   0.836052E+02
   354   0.232717E+04   0.180746E+02   0.312782E-01   0.821365E+02
   355   0.230389E+04   0.182101E+02   0.313735E-01   0.806461E+02
   356   0.228098E+04   0.183434E+02   0.314686E-01   0.791414E+02
   357   0.225843E+04   0.184738E+02   0.315636E-01   0.776075E+02
   358   0.223632E+04   0.186005E+02   0.316585E-01   0.760593E+02
   359   0.221449E+04   0.187251E+02   0.317533E-01   0.744819E+02
   360   0.219311E+04   0.188475E+02   0.318481E-01   0.728864E+02
   361   0.217208E+04   0.189671E+02   0.319428E-01   0.712684E+02
   362   0.215149E+04   0.190837E+02   0.320374E-01   0.696307E+02
   363   0.213126E+04   0.191982E+02   0.321321E-01   0.679757E+02
   364   0.211147E+04   0.193083E+02   0.322267E-01   0.662996E+02
   365   0.209204E+04   0.194163E+02   0.323214E-01   0.646082E+02
   366   0.207305E+04   0.195214E+02   0.324160E-01   0.628987E+02
   367   0.205450E+04   0.196221E+02   0.325108E-01   0.611733E+02
   368   0.203623E+04   0.197207E+02   0.326056E-01   0.594333E+02
   369   0.201855E+04   0.198164E+02   0.327006E-01   0.576766E+02
   370   0.200123E+04   0.199085E+02   0.327956E-01   0.559083E+02
   371   0.198427E+04   0.199969E+02   0.328907E-01   0.541248E+02
   372   0.196775E+04   0.200825E+02   0.329861E-01   0.523304E+02
   373   0.195167E+04   0.201645E+02   0.330815E-01   0.505221E+02
